Work_Year,Experience_Level,Employment_Type,Job_Title,Salary,Salary_Currency,Remote_Ratio,Company_Size
2024,Senior-Level,Full-Time,AI Engineer,90000,USD,0,Large
2024,Senior-Level,Full-Time,Machine Learning Engineer,180500,USD,0,Medium
2024,Senior-Level,Full-Time,Machine Learning Engineer,96200,USD,0,Medium
2024,Senior-Level,Full-Time,Machine Learning Engineer,235000,USD,0,Medium
2024,Senior-Level,Full-Time,Machine Learning Engineer,175000,USD,0,Medium
2024,Mid-Level,Full-Time,Business Intelligence Developer,95413,USD,100,Medium
2024,Mid-Level,Full-Time,Business Intelligence Developer,70692,USD,100,Medium
2024,Senior-Level,Full-Time,Data Engineer,110000,USD,0,Medium
2024,Senior-Level,Full-Time,Data Engineer,48000,USD,0,Medium
2024,Senior-Level,Full-Time,Data Scientist,222300,USD,0,Medium
2024,Senior-Level,Full-Time,Data Scientist,119700,USD,0,Medium
2024,Senior-Level,Full-Time,Cloud Database Engineer,170375,USD,100,Medium
2024,Senior-Level,Full-Time,Cloud Database Engineer,102500,USD,100,Medium
2024,Senior-Level,Full-Time,Data Engineer,270000,USD,0,Medium
2024,Senior-Level,Full-Time,Data Engineer,190000,USD,0,Medium
2024,Mid-Level,Full-Time,Data Engineer,98000,USD,0,Medium
2024,Mid-Level,Full-Time,Data Engineer,68300,USD,0,Medium
2024,Mid-Level,Full-Time,Machine Learning Engineer,223100,USD,100,Medium
2024,Mid-Level,Full-Time,Machine Learning Engineer,126400,USD,100,Medium
2024,Senior-Level,Full-Time,Data Engineer,283800,USD,100,Medium
2024,Senior-Level,Full-Time,Data Engineer,198900,USD,100,Medium
2024,Mid-Level,Full-Time,Research Engineer,166000,USD,0,Medium
2024,Mid-Level,Full-Time,Research Engineer,73000,USD,0,Medium
2024,Entry-Level,Full-Time,Data Analyst,130000,USD,0,Medium
2024,Entry-Level,Full-Time,Data Analyst,100000,USD,0,Medium
2024,Senior-Level,Full-Time,Machine Learning Scientist,220000,USD,0,Medium
2024,Senior-Level,Full-Time,Machine Learning Scientist,137500,USD,0,Medium
2024,Senior-Level,Full-Time,Research Engineer,234000,USD,0,Medium
2024,Senior-Level,Full-Time,Research Engineer,146000,USD,0,Medium
2024,Entry-Level,Full-Time,Data Analyst,39600,EUR,0,Medium
2024,Entry-Level,Full-Time,Data Analyst,33600,EUR,0,Medium
2024,Senior-Level,Full-Time,Data Engineer,275000,USD,100,Medium
2024,Senior-Level,Full-Time,Data Engineer,200000,USD,100,Medium
2024,Senior-Level,Full-Time,Data Engineer,204000,USD,0,Medium
2024,Senior-Level,Full-Time,Data Engineer,163200,USD,0,Medium
2024,Mid-Level,Full-Time,Data Scientist,135000,USD,100,Medium
2024,Mid-Level,Full-Time,Data Scientist,110000,USD,100,Medium
2024,Senior-Level,Full-Time,Machine Learning Engineer,195000,USD,100,Medium
2024,Senior-Level,Full-Time,Machine Learning Engineer,170000,USD,100,Medium
2024,Mid-Level,Full-Time,Data Engineer,210000,USD,0,Medium
2024,Mid-Level,Full-Time,Data Engineer,130000,USD,0,Medium
2024,Mid-Level,Full-Time,Data Scientist,136000,USD,0,Medium
2024,Mid-Level,Full-Time,Data Scientist,106700,USD,0,Medium
2024,Mid-Level,Full-Time,Data Scientist,164000,USD,0,Medium
2024,Mid-Level,Full-Time,Data Scientist,131000,USD,0,Medium
2024,Mid-Level,Full-Time,Applied Scientist,250000,USD,0,Medium
2024,Mid-Level,Full-Time,Applied Scientist,170000,USD,0,Medium
2024,Senior-Level,Full-Time,Data Analyst,175000,USD,0,Medium
2024,Senior-Level,Full-Time,Data Analyst,117000,USD,0,Medium
2024,Senior-Level,Full-Time,Data Engineer,205500,USD,100,Medium
2024,Senior-Level,Full-Time,Data Engineer,135000,USD,100,Medium
2024,Senior-Level,Full-Time,Data Engineer,146000,USD,0,Medium
2024,Senior-Level,Full-Time,Data Engineer,82500,USD,0,Medium
2024,Mid-Level,Full-Time,Data Science Manager,240000,USD,0,Medium
2024,Mid-Level,Full-Time,Data Science Manager,180000,USD,0,Medium
2024,Senior-Level,Full-Time,Data Analyst,157500,USD,100,Medium
2024,Senior-Level,Full-Time,Data Analyst,132500,USD,100,Medium
2024,Senior-Level,Full-Time,Data Engineer,209943,USD,0,Medium
2024,Senior-Level,Full-Time,Data Engineer,155175,USD,0,Medium
2024,Senior-Level,Full-Time,Data Scientist,244800,USD,0,Medium
2024,Senior-Level,Full-Time,Data Scientist,172000,USD,0,Medium
2024,Senior-Level,Full-Time,Research Scientist,250000,USD,0,Medium
2024,Senior-Level,Full-Time,Research Scientist,200000,USD,0,Medium
2024,Senior-Level,Full-Time,Research Scientist,600000,USD,0,Medium
2024,Senior-Level,Full-Time,Research Scientist,280000,USD,0,Medium
2024,Senior-Level,Full-Time,Prompt Engineer,600000,USD,0,Medium
2024,Senior-Level,Full-Time,Prompt Engineer,280000,USD,0,Medium
2024,Senior-Level,Full-Time,Data Science,180000,USD,0,Medium
2024,Senior-Level,Full-Time,Data Science,160000,USD,0,Medium
2024,Entry-Level,Full-Time,Data Analyst,184180,USD,0,Medium
2024,Entry-Level,Full-Time,Data Analyst,159870,USD,0,Medium
2024,Senior-Level,Full-Time,Data Scientist,195000,USD,0,Medium
2024,Senior-Level,Full-Time,Data Scientist,110000,USD,0,Medium
2024,Senior-Level,Full-Time,Research Scientist,500000,USD,100,Medium
2024,Senior-Level,Full-Time,Research Scientist,180000,USD,100,Medium
