Sales in Thousands,Year Resale Value,Price in Thousands,Engine Size,Horsepower,Wheelbase,Width,Length,Curb Weight,Fuel Capacity,Fuel Efficiency,Power Perf Factor,Vehicle Type Car,Vehicle Type Passenger
16.919,16.36,21.5,1.8,140,101.2,67.3,172.4,2.639,13.2,28,58.28014952,0,1
39.384,19.875,28.4,3.2,225,108.1,70.3,192.9,3.517,17.2,25,91.37077766,0,1
20.397,22.255,23.99,1.8,150,102.6,68.2,178,2.998,16.4,27,62.7776392,0,1
18.78,23.555,33.95,2.8,200,108.7,76.1,192,3.561,18.5,22,84.56510502,0,1
91.561,12.475,21.975,3.1,175,109,72.7,194.6,3.368,17.5,25,71.18145132,0,1
39.35,13.74,25.3,3.8,240,109,72.7,196.2,3.543,17.5,23,95.63670253,0,1
27.851,20.19,31.965,3.8,205,113.8,74.7,206.8,3.778,18.5,24,85.82840825,0,1
83.257,13.36,27.885,3.8,205,112.2,73.5,200,3.591,17.5,25,84.25452581,0,1
6.536,25.725,39.665,4.6,275,108,75.5,200.6,3.843,19,22,113.7658739,0,1
11.185,18.225,31.01,3,200,107.4,70.3,194.8,3.77,18,22,83.48309358,0,1
145.519,9.25,13.26,2.2,115,104.1,67.9,180.9,2.676,14.3,27,46.36334747,0,1
135.126,11.225,16.535,3.1,170,107,69.4,190.4,3.051,15,25,67.31446216,0,1
24.629,10.31,18.89,3.1,175,107.5,72.5,200.9,3.33,16.6,25,69.9913956,0,1
42.593,11.525,19.39,3.4,180,110.5,72.7,197.9,3.34,17,27,72.03091719,0,1
26.402,13.025,24.34,3.8,200,101.1,74.1,193.2,3.5,16.8,25,81.11854333,0,1
32.299,9.125,13.96,1.8,120,97.1,66.7,174.3,2.398,13.2,33,48.2976361,0,1
21.855,5.16,9.235,1,55,93.1,62.6,149.4,1.895,10.3,45,23.27627233,0,1
7.854,12.36,19.84,2.5,163,103.7,69.7,190.9,2.967,15.9,24,65.95718396,0,1
32.775,14.18,24.495,2.5,168,106,69.2,193,3.332,16,24,69.52135505,0,1
31.148,13.725,22.245,2.7,200,113,74.4,209.1,3.452,17,26,80.02378204,0,1
32.306,12.64,16.48,2,132,108,71,186,2.911,16,27,53.56619987,0,1
13.462,17.325,28.34,3.5,253,113,74.4,207.7,3.564,17,23,101.3292807,0,1
76.034,7.75,12.64,2,132,105,74.4,174.4,2.567,12.5,29,52.08489875,0,1
4.734,12.545,19.045,2.5,163,103.7,69.1,190.2,2.879,15.9,24,65.65050834,0,1
71.186,10.185,20.23,2.5,168,108,71,186,3.058,16,24,67.87610784,0,1
227.061,15.06,19.46,5.2,230,138.7,79.3,224.2,4.47,26,17,90.21170005,1,0
16.767,15.51,21.315,3.9,175,109.6,78.8,192.6,4.245,32,15,71.13529161,1,0
31.038,13.425,18.575,3.9,175,127.2,78.8,208.5,4.298,32,16,70.07832154,1,0
111.313,11.26,16.98,2.5,120,131,71.5,215,3.557,22,19,49.64500177,1,0
181.749,12.025,19.565,2.4,150,113.3,76.8,186.3,3.533,20,24,61.22700031,1,0
70.227,7.425,12.07,2,110,98.4,67,174.7,2.468,12.7,30,44.08370946,0,1
113.369,12.76,21.56,3.8,190,101.3,73.1,183.2,3.203,15.7,24,76.50918456,0,1
35.068,8.835,17.035,2.5,170,106.5,69.1,184.6,2.769,15,25,67.35101072,0,1
245.815,10.055,17.885,3,155,108.5,73,197.6,3.368,16,24,62.5037395,0,1
63.403,14.21,22.195,4.6,200,114.7,78.2,212,3.908,19,21,80.49953671,0,1
276.747,16.64,31.93,4,210,111.6,70.2,190.7,3.876,21,19,87.63549578,1,0
155.787,13.175,21.41,3,150,120.7,76.6,200.9,3.761,26,21,62.09504839,1,0
125.338,23.575,36.135,4.6,240,119,78.7,204.6,4.808,26,16,100.0248023,1,0
220.65,7.85,12.05,2.5,119,117.5,69.4,200.7,3.086,20,23,47.38953131,1,0
540.561,15.075,26.935,4.6,220,138.5,79.1,224.5,4.241,25.1,18,89.40193473,1,0
199.685,9.85,12.885,1.6,106,103.2,67.1,175.1,2.339,11.9,32,42.87909734,0,1
230.902,13.21,15.35,2.3,135,106.9,70.3,188.8,2.932,17.1,27,54.26954829,0,1
