matchId,playerId,playType,bodyPart,x,y,interveningOpponents,interveningTeammates,interferenceOnShooter,minute,second,outcome
m_91,p_103,open play,right foot,13.47,-11.22,1,0,medium,70,9,goal
m_17,p_16,open play,left foot,9.48,14.22,3,0,medium,55,4,saved by keeper
m_111,p_88,free kick,left foot,29.43,-1.25,6,2,low,86,31,saved by keeper
m_142,p_87,open play,right foot,26.93,1,4,1,medium,77,2,missed chance
m_117,p_9,open play,right foot,10.72,5.24,2,0,medium,76,46,goal
m_147,p_118,open play,head,5.49,-1.5,1,0,low,40,15,missed chance
m_88,p_101,open play,head,14.46,-1.25,3,0,medium,88,8,missed chance
m_66,p_61,open play,head,8.98,4.99,1,0,low,10,29,missed chance
m_132,p_84,open play,left foot,23.44,-1.25,3,0,medium,58,45,blocked shot
m_99,p_30,open play,left foot,8.48,3.99,2,1,medium,43,55,blocked shot
m_101,p_45,open play,head,9.98,-9.98,2,0,medium,6,45,saved by keeper
m_158,p_110,open play,right foot,10.23,-11.72,3,0,low,5,42,blocked shot
m_11,p_79,open play,right foot,12.47,9.98,2,0,medium,54,41,saved by keeper
m_204,p_85,open play,head,10.97,-3.74,3,0,medium,16,29,missed chance
m_108,p_44,open play,right foot,17.71,14.71,2,0,low,88,44,saved by keeper
m_169,p_129,open play,head,2.49,5.24,2,0,medium,50,44,saved by keeper
m_7,p_30,open play,right foot,22.94,1.25,4,1,medium,90,6,saved by keeper
m_27,p_116,open play,head,4.49,-5.74,1,1,low,18,37,saved by keeper
m_1,p_159,open play,right foot,28.18,-9.73,3,0,medium,48,28,missed chance
m_68,p_147,open play,head,4.74,6.98,2,0,medium,45,26,blocked shot
m_203,p_105,open play,right foot,12.97,11.72,2,0,high,42,37,blocked shot
m_124,p_89,open play,right foot,9.73,5.74,4,0,low,12,17,saved by keeper
m_186,p_109,open play,right foot,12.72,-2,1,0,low,11,51,saved by keeper
m_140,p_143,open play,head,7.23,4.99,1,0,low,88,20,goal
m_3,p_71,open play,right foot,13.22,-7.48,2,0,low,57,43,saved by keeper
m_235,p_134,open play,right foot,18.21,14.96,2,0,low,0,58,missed chance
m_209,p_76,open play,left foot,12.72,-19.2,4,0,low,63,42,blocked shot
m_231,p_34,open play,left foot,18.7,-1.5,3,0,low,86,56,blocked shot
m_81,p_57,open play,right foot,8.73,-0.75,1,0,medium,67,57,saved by keeper
m_146,p_118,open play,left foot,6.48,3.24,2,0,low,54,22,missed chance
m_110,p_104,open play,left foot,9.23,4.99,2,0,low,36,25,goal
